Sample	Unique Reads	Duplicate Reads
SRR12183139_1	2649.0	36445.0
SRR12183139_2	4450.0	34644.0
SRR12183147_1	1877.0	29624.0
SRR12183147_2	3318.0	28183.0
SRR12183158_1	2307.0	35133.0
SRR12183158_2	4012.0	33428.0
SRR12183176_1	3168.0	30937.0
SRR12183176_2	6174.0	27931.0
SRR12183187_1	2735.0	22921.0
SRR12183187_2	4632.0	21024.0
SRR12183204_1	2959.0	21799.0
SRR12183204_2	5297.0	19461.0
SRR12183215_1	3435.0	22503.0
SRR12183215_2	5134.0	20804.0
SRR12183228_1	6500.0	46659.0
SRR12183228_2	11556.0	41603.0
SRR12183238_1	271.0	183.0
SRR12183238_2	361.0	93.0
SRR12183239_1	5118.0	37082.0
SRR12183239_2	9300.0	32900.0
SRR12183240_1	173.0	364.0
SRR12183240_2	259.0	278.0
SRR12183241_1	287.0	711.0
SRR12183241_2	364.0	634.0
SRR12183242_1	120.0	325.0
SRR12183242_2	198.0	247.0
SRR12183243_1	158.0	452.0
SRR12183243_2	239.0	371.0
SRR12183244_1	370.0	1175.0
SRR12183244_2	459.0	1086.0
SRR12183245_1	134.0	510.0
SRR12183245_2	226.0	418.0
SRR12183250_1	72.0	79.0
SRR12183250_2	102.0	49.0
SRR12183259_1	5370.0	47608.0
SRR12183259_2	9449.0	43529.0
SRR12183269_1	3644.0	32658.0
SRR12183269_2	6598.0	29704.0
SRR12183285_1	7254.0	52376.0
SRR12183285_2	10318.0	49312.0
SRR12183296_1	2603.0	34656.0
SRR12183296_2	4397.0	32862.0
SRR12183309_1	2899.0	22941.0
SRR12183309_2	5386.0	20454.0
SRR12183310_1	3141.0	26774.0
SRR12183310_2	6018.0	23897.0
SRR12183321_1	2773.0	27352.0
SRR12183321_2	5520.0	24605.0
SRR12183332_1	2697.0	22071.0
SRR12183332_2	5071.0	19697.0
SRR12183337_1	2158.0	18716.0
SRR12183337_2	3763.0	17111.0
SRR12183348_1	2827.0	17624.0
SRR12183348_2	4763.0	15688.0
SRR12183359_1	2040.0	22289.0
SRR12183359_2	3462.0	20867.0
SRR12183366_1	1825.0	26063.0
SRR12183366_2	3083.0	24805.0
SRR12183377_1	2299.0	27873.0
SRR12183377_2	3160.0	27012.0
SRR12183388_1	1389.0	22197.0
SRR12183388_2	2050.0	21536.0
SRR12183400_1	2353.0	42931.0
SRR12183400_2	3781.0	41503.0
SRR12183411_1	2169.0	32485.0
SRR12183411_2	2670.0	31984.0
SRR12183422_1	2116.0	41255.0
SRR12183422_2	3412.0	39959.0
SRR12183423_1	3683.0	22125.0
SRR12183423_2	5931.0	19877.0
SRR12183434_1	2983.0	55156.0
SRR12183434_2	4037.0	54102.0
SRR12183445_1	2358.0	43678.0
SRR12183445_2	3515.0	42521.0
SRR12183456_1	3193.0	73342.0
SRR12183456_2	5211.0	71324.0
SRR12183467_1	246.0	804.0
SRR12183467_2	372.0	678.0
SRR12183485_1	5841.0	37411.0
SRR12183485_2	9690.0	33562.0
SRR12183496_1	5472.0	29272.0
SRR12183496_2	7934.0	26810.0
SRR12183504_1	4442.0	31549.0
SRR12183504_2	6334.0	29657.0
SRR12183505_1	5192.0	24139.0
SRR12183505_2	6884.0	22447.0
SRR12183516_1	4501.0	48042.0
SRR12183516_2	7795.0	44748.0
SRR12183527_1	5803.0	46710.0
SRR12183527_2	9492.0	43021.0
SRR12183532_1	2364.0	12236.0
SRR12183532_2	3700.0	10900.0
SRR12183543_1	5127.0	56799.0
SRR12183543_2	8659.0	53267.0
SRR12183554_1	5062.0	52670.0
SRR12183554_2	8643.0	49089.0
SRR12183559_1	3170.0	35891.0
SRR12183559_2	4295.0	34766.0
SRR12183560_1	6240.0	44314.0
SRR12183560_2	10449.0	40105.0
SRR12183561_1	5165.0	33445.0
SRR12183561_2	8837.0	29773.0
