Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR12183139_1	SRR12183139_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	39094.0	11.7 Mbp	0.0	301.0	53.0	6.775975853072083	301.0	301	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR12183139_2	SRR12183139_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	39094.0	11.7 Mbp	0.0	301.0	53.0	11.382820893231697	301.0	301	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
SRR12183147_1	SRR12183147_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31501.0	9.4 Mbp	0.0	301.0	53.0	5.958540998698454	301.0	301	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR12183147_2	SRR12183147_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31501.0	9.4 Mbp	0.0	301.0	53.0	10.532998952414209	301.0	301	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
SRR12183158_1	SRR12183158_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37440.0	11.2 Mbp	0.0	301.0	53.0	6.1618589743589745	301.0	301	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR12183158_2	SRR12183158_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37440.0	11.2 Mbp	0.0	301.0	54.0	10.715811965811966	301.0	301	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
SRR12183176_1	SRR12183176_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34105.0	10.2 Mbp	0.0	301.0	53.0	9.286028441577482	301.0	301	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR12183176_2	SRR12183176_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34105.0	10.2 Mbp	0.0	301.0	54.0	18.102917460782876	301.0	301	pass	fail	pass	fail	fail	pass	pass	fail	warn	pass
SRR12183187_1	SRR12183187_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	25656.0	7.7 Mbp	0.0	301.0	53.0	10.660274399750545	301.0	301	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR12183187_2	SRR12183187_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	25656.0	7.7 Mbp	0.0	301.0	53.0	18.054256314312443	301.0	301	pass	fail	pass	fail	fail	pass	pass	fail	warn	pass
SRR12183204_1	SRR12183204_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24758.0	7.4 Mbp	0.0	301.0	55.0	11.951692382260278	301.0	301	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR12183204_2	SRR12183204_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24758.0	7.4 Mbp	0.0	301.0	55.0	21.395104612650456	301.0	301	pass	fail	pass	fail	fail	pass	pass	fail	warn	pass
SRR12183215_1	SRR12183215_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	25938.0	7.8 Mbp	0.0	301.0	55.0	13.243118204950266	301.0	301	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR12183215_2	SRR12183215_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	25938.0	7.8 Mbp	0.0	301.0	55.0	19.793353381139642	301.0	301	pass	fail	pass	fail	fail	pass	pass	fail	warn	pass
SRR12183228_1	SRR12183228_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	53159.0	16 Mbp	0.0	301.0	56.0	12.227468537782878	301.0	301	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR12183228_2	SRR12183228_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	53159.0	16 Mbp	0.0	301.0	56.0	21.738557911172144	301.0	301	pass	fail	pass	fail	fail	pass	pass	fail	warn	pass
SRR12183238_1	SRR12183238_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	454.0	136.6 kbp	0.0	301.0	53.0	59.691629955947135	301.0	301	pass	warn	pass	fail	fail	pass	pass	warn	fail	pass
SRR12183238_2	SRR12183238_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	454.0	136.6 kbp	0.0	301.0	54.0	79.51541850220264	301.0	301	pass	fail	pass	fail	fail	pass	pass	pass	fail	pass
SRR12183239_1	SRR12183239_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42200.0	12.7 Mbp	0.0	301.0	56.0	12.127962085308058	301.0	301	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
SRR12183239_2	SRR12183239_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42200.0	12.7 Mbp	0.0	301.0	56.0	22.03791469194313	301.0	301	pass	fail	pass	fail	warn	pass	pass	fail	warn	pass
SRR12183240_1	SRR12183240_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	537.0	161.6 kbp	0.0	301.0	53.0	32.02979515828678	301.0	301	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
SRR12183240_2	SRR12183240_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	537.0	161.6 kbp	0.0	301.0	53.0	48.23091247672253	301.0	301	pass	fail	pass	fail	fail	pass	pass	fail	fail	fail
SRR12183241_1	SRR12183241_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	998.0	300.3 kbp	0.0	301.0	54.0	28.65731462925852	301.0	301	pass	warn	pass	fail	fail	pass	pass	fail	fail	warn
SRR12183241_2	SRR12183241_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	998.0	300.3 kbp	0.0	301.0	54.0	36.47294589178357	301.0	301	pass	fail	pass	fail	fail	pass	pass	fail	fail	warn
SRR12183242_1	SRR12183242_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	445.0	133.9 kbp	0.0	301.0	51.0	26.96629213483146	301.0	301	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
SRR12183242_2	SRR12183242_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	445.0	133.9 kbp	0.0	301.0	52.0	44.49438202247191	301.0	301	pass	fail	fail	fail	fail	pass	pass	fail	fail	fail
SRR12183243_1	SRR12183243_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	610.0	183.6 kbp	0.0	301.0	52.0	25.901639344262296	301.0	301	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
SRR12183243_2	SRR12183243_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	610.0	183.6 kbp	0.0	301.0	53.0	39.18032786885246	301.0	301	pass	fail	pass	fail	fail	pass	pass	fail	fail	fail
SRR12183244_1	SRR12183244_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1545.0	465 kbp	0.0	301.0	52.0	23.948220064724918	301.0	301	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
SRR12183244_2	SRR12183244_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1545.0	465 kbp	0.0	301.0	54.0	29.708737864077673	301.0	301	pass	fail	fail	fail	fail	pass	pass	fail	fail	fail
SRR12183245_1	SRR12183245_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	644.0	193.8 kbp	0.0	301.0	53.0	20.80745341614907	301.0	301	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
SRR12183245_2	SRR12183245_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	644.0	193.8 kbp	0.0	301.0	54.0	35.09316770186335	301.0	301	pass	fail	pass	fail	fail	pass	pass	fail	fail	fail
SRR12183250_1	SRR12183250_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	151.0	45.4 kbp	0.0	301.0	52.0	47.682119205298015	301.0	301	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
SRR12183250_2	SRR12183250_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	151.0	45.4 kbp	0.0	301.0	53.0	67.54966887417218	301.0	301	pass	fail	pass	fail	fail	pass	pass	warn	fail	fail
SRR12183259_1	SRR12183259_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	52978.0	15.9 Mbp	0.0	301.0	54.0	10.136282985390162	301.0	301	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR12183259_2	SRR12183259_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	52978.0	15.9 Mbp	0.0	301.0	54.0	17.835705387141832	301.0	301	pass	fail	pass	fail	fail	pass	pass	fail	warn	pass
SRR12183269_1	SRR12183269_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	36302.0	10.9 Mbp	0.0	301.0	54.0	10.03801443446642	301.0	301	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR12183269_2	SRR12183269_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	36302.0	10.9 Mbp	0.0	301.0	54.0	18.175307145611814	301.0	301	pass	fail	pass	fail	fail	pass	pass	fail	warn	pass
SRR12183285_1	SRR12183285_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	59630.0	17.9 Mbp	0.0	301.0	55.0	12.165017608586282	301.0	301	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR12183285_2	SRR12183285_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	59630.0	17.9 Mbp	0.0	301.0	55.0	17.303370786516854	301.0	301	pass	fail	pass	fail	fail	pass	pass	fail	warn	pass
SRR12183296_1	SRR12183296_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37259.0	11.2 Mbp	0.0	301.0	53.0	6.986231514533402	301.0	301	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
