Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR12183139_1	93.22402414692792	53.0	301.0	301	40.0	39094.0
SRR12183139_2	88.6171791067683	53.0	301.0	301	50.0	39094.0
SRR12183147_1	94.04145900130155	53.0	301.0	301	40.0	31501.0
SRR12183147_2	89.4670010475858	53.0	301.0	301	50.0	31501.0
SRR12183158_1	93.83814102564102	53.0	301.0	301	40.0	37440.0
SRR12183158_2	89.28418803418803	54.0	301.0	301	50.0	37440.0
SRR12183176_1	90.71397155842251	53.0	301.0	301	40.0	34105.0
SRR12183176_2	81.89708253921712	54.0	301.0	301	40.0	34105.0
SRR12183187_1	89.33972560024945	53.0	301.0	301	40.0	25656.0
SRR12183187_2	81.94574368568756	53.0	301.0	301	40.0	25656.0
SRR12183204_1	88.04830761773972	55.0	301.0	301	40.0	24758.0
SRR12183204_2	78.60489538734954	55.0	301.0	301	40.0	24758.0
SRR12183215_1	86.75688179504974	55.0	301.0	301	40.0	25938.0
SRR12183215_2	80.20664661886036	55.0	301.0	301	40.0	25938.0
SRR12183228_1	87.77253146221712	56.0	301.0	301	40.0	53159.0
SRR12183228_2	78.26144208882786	56.0	301.0	301	40.0	53159.0
SRR12183238_1	40.308370044052865	53.0	301.0	301	30.0	454.0
SRR12183238_2	20.484581497797365	54.0	301.0	301	40.0	454.0
SRR12183239_1	87.87203791469194	56.0	301.0	301	30.0	42200.0
SRR12183239_2	77.96208530805687	56.0	301.0	301	30.0	42200.0
SRR12183240_1	67.97020484171321	53.0	301.0	301	50.0	537.0
SRR12183240_2	51.76908752327747	53.0	301.0	301	60.0	537.0
SRR12183241_1	71.34268537074148	54.0	301.0	301	40.0	998.0
SRR12183241_2	63.52705410821643	54.0	301.0	301	50.0	998.0
SRR12183242_1	73.03370786516854	51.0	301.0	301	50.0	445.0
SRR12183242_2	55.50561797752809	52.0	301.0	301	70.0	445.0
SRR12183243_1	74.09836065573771	52.0	301.0	301	50.0	610.0
SRR12183243_2	60.81967213114754	53.0	301.0	301	60.0	610.0
SRR12183244_1	76.05177993527508	52.0	301.0	301	50.0	1545.0
SRR12183244_2	70.29126213592232	54.0	301.0	301	70.0	1545.0
SRR12183245_1	79.19254658385093	53.0	301.0	301	50.0	644.0
SRR12183245_2	64.90683229813665	54.0	301.0	301	60.0	644.0
SRR12183250_1	52.317880794701985	52.0	301.0	301	50.0	151.0
SRR12183250_2	32.450331125827816	53.0	301.0	301	50.0	151.0
SRR12183259_1	89.86371701460983	54.0	301.0	301	40.0	52978.0
SRR12183259_2	82.16429461285817	54.0	301.0	301	40.0	52978.0
SRR12183269_1	89.96198556553358	54.0	301.0	301	40.0	36302.0
SRR12183269_2	81.82469285438819	54.0	301.0	301	40.0	36302.0
SRR12183285_1	87.83498239141372	55.0	301.0	301	40.0	59630.0
SRR12183285_2	82.69662921348315	55.0	301.0	301	40.0	59630.0
SRR12183296_1	93.0137684854666	53.0	301.0	301	40.0	37259.0
SRR12183296_2	88.19882444510051	53.0	301.0	301	50.0	37259.0
SRR12183309_1	88.78095975232198	53.0	301.0	301	40.0	25840.0
SRR12183309_2	79.156346749226	54.0	301.0	301	40.0	25840.0
SRR12183310_1	89.50025071034598	56.0	301.0	301	30.0	29915.0
SRR12183310_2	79.88300183854254	56.0	301.0	301	30.0	29915.0
SRR12183321_1	90.79502074688797	53.0	301.0	301	40.0	30125.0
SRR12183321_2	81.67634854771785	53.0	301.0	301	50.0	30125.0
SRR12183332_1	89.1109496124031	54.0	301.0	301	40.0	24768.0
SRR12183332_2	79.52600129198967	55.0	301.0	301	40.0	24768.0
SRR12183337_1	89.66178020503976	52.0	301.0	301	40.0	20874.0
SRR12183337_2	81.97278911564626	52.0	301.0	301	50.0	20874.0
SRR12183348_1	86.17671507505746	55.0	301.0	301	40.0	20451.0
SRR12183348_2	76.7150750574544	55.0	301.0	301	40.0	20451.0
SRR12183359_1	91.61494512721444	53.0	301.0	301	40.0	24329.0
SRR12183359_2	85.77006864236097	54.0	301.0	301	50.0	24329.0
SRR12183366_1	93.45955249569707	53.0	301.0	301	40.0	27888.0
SRR12183366_2	88.94506597819851	53.0	301.0	301	50.0	27888.0
SRR12183377_1	92.38035264483628	53.0	301.0	301	40.0	30172.0
SRR12183377_2	89.52671350921383	53.0	301.0	301	50.0	30172.0
SRR12183388_1	94.11091325362503	54.0	301.0	301	40.0	23586.0
SRR12183388_2	91.30840329008734	54.0	301.0	301	50.0	23586.0
SRR12183400_1	94.80611253422842	52.0	301.0	301	40.0	45284.0
SRR12183400_2	91.65047257309425	52.0	301.0	301	50.0	45284.0
SRR12183411_1	93.7438679517516	52.0	301.0	301	40.0	34654.0
SRR12183411_2	92.29526173024759	52.0	301.0	301	50.0	34654.0
SRR12183422_1	95.12116391136935	52.0	301.0	301	40.0	43371.0
SRR12183422_2	92.13299209148971	52.0	301.0	301	50.0	43371.0
SRR12183423_1	85.72923124612524	56.0	301.0	301	30.0	25808.0
SRR12183423_2	77.01875387476751	56.0	301.0	301	30.0	25808.0
SRR12183434_1	94.86919279657373	51.0	301.0	301	40.0	58139.0
SRR12183434_2	93.05629611792429	51.0	301.0	301	50.0	58139.0
SRR12183445_1	94.87792162655313	52.0	301.0	301	40.0	46036.0
SRR12183445_2	92.36467112694413	52.0	301.0	301	50.0	46036.0
SRR12183456_1	95.82805252498856	52.0	301.0	301	40.0	76535.0
SRR12183456_2	93.19135036257921	52.0	301.0	301	50.0	76535.0
SRR12183467_1	76.57142857142857	53.0	301.0	301	40.0	1050.0
SRR12183467_2	64.57142857142858	53.0	301.0	301	50.0	1050.0
SRR12183485_1	86.49542217700916	56.0	301.0	301	40.0	43252.0
SRR12183485_2	77.59641172662536	56.0	301.0	301	40.0	43252.0
SRR12183496_1	84.25339626985954	56.0	301.0	301	40.0	34744.0
SRR12183496_2	77.16728068155652	56.0	301.0	301	40.0	34744.0
SRR12183504_1	87.65802561751549	54.0	301.0	301	40.0	35991.0
SRR12183504_2	82.4011558445167	54.0	301.0	301	40.0	35991.0
SRR12183505_1	82.29859193344925	56.0	301.0	301	30.0	29331.0
SRR12183505_2	76.52995124612185	56.0	301.0	301	30.0	29331.0
SRR12183516_1	91.433682888301	53.0	301.0	301	40.0	52543.0
SRR12183516_2	85.16453190719982	54.0	301.0	301	50.0	52543.0
SRR12183527_1	88.9494030049702	54.0	301.0	301	40.0	52513.0
SRR12183527_2	81.92447584407671	55.0	301.0	301	50.0	52513.0
SRR12183532_1	83.8082191780822	54.0	301.0	301	40.0	14600.0
SRR12183532_2	74.65753424657534	54.0	301.0	301	40.0	14600.0
SRR12183543_1	91.7207634919097	53.0	301.0	301	40.0	61926.0
SRR12183543_2	86.01718179762943	53.0	301.0	301	40.0	61926.0
SRR12183554_1	91.23189912007206	53.0	301.0	301	40.0	57732.0
SRR12183554_2	85.03083212083419	54.0	301.0	301	40.0	57732.0
SRR12183559_1	91.88448836435319	54.0	301.0	301	40.0	39061.0
SRR12183559_2	89.00693786641406	54.0	301.0	301	50.0	39061.0
SRR12183560_1	87.65676306523717	56.0	301.0	301	30.0	50554.0
SRR12183560_2	79.33101238279859	56.0	301.0	301	30.0	50554.0
SRR12183561_1	86.62263662263662	56.0	301.0	301	30.0	38610.0
SRR12183561_2	77.11214711214711	56.0	301.0	301	30.0	38610.0
