run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	experiment_title	fastq_ftp	submitted_ftp	sra_ftp	bam_ftp
SRR12183128	SAMN15485745	SRX8697813	PRJNA644936	410658	soil metagenome	Illumina MiSeq sequencing: 16S amplicon of BS sample from mesocosm with Lansing soil and Gv Experiment 3. Samples collected 65 days after soil in-growth cores inserted in mesocosm	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/028/SRR12183128/SRR12183128_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/028/SRR12183128/SRR12183128_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR121/028/SRR12183128	
SRR12183129	SAMN15485744	SRX8697812	PRJNA644936	410658	soil metagenome	Illumina MiSeq sequencing: 16S amplicon of BP sample from mesocosm with Lansing soil and Gv Experiment 3. Samples collected 65 days after soil in-growth cores inserted in mesocosm	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/029/SRR12183129/SRR12183129_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/029/SRR12183129/SRR12183129_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR121/029/SRR12183129	
SRR12183136	SAMN15485810	SRX8698111	PRJNA644936	410658	soil metagenome	Illumina MiSeq sequencing: 16S amplicon of CS sample from mesocosm with Lansing soil and Gv Experiment 3. Samples collected 24 days after soil in-growth cores inserted in mesocosm	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/036/SRR12183136/SRR12183136_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/036/SRR12183136/SRR12183136_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR121/036/SRR12183136	
SRR12183137	SAMN15485737	SRX8697805	PRJNA644936	410658	soil metagenome	Illumina MiSeq sequencing: 16S amplicon of CH sample from mesocosm with Lansing soil and Gv Experiment 3. Samples collected 65 days after soil in-growth cores inserted in mesocosm	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/037/SRR12183137/SRR12183137_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/037/SRR12183137/SRR12183137_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR121/037/SRR12183137	
SRR12183142	SAMN15485870	SRX8697800	PRJNA644936	410658	soil metagenome	Illumina MiSeq sequencing: 16S amplicon of CH sample from mesocosm with Lansing soil and Gv Experiment 3. Samples collected 65 days after soil in-growth cores inserted in mesocosm	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/042/SRR12183142/SRR12183142_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/042/SRR12183142/SRR12183142_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR121/042/SRR12183142	
SRR12183144	SAMN15485868	SRX8697798	PRJNA644936	410658	soil metagenome	Illumina MiSeq sequencing: 16S amplicon of CH sample from mesocosm with Lansing soil and Gv Experiment 3. Samples collected 24 days after soil in-growth cores inserted in mesocosm	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/044/SRR12183144/SRR12183144_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/044/SRR12183144/SRR12183144_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR121/044/SRR12183144	
SRR12183146	SAMN15485866	SRX8697796	PRJNA644936	410658	soil metagenome	Illumina MiSeq sequencing: 16S amplicon of CH sample from mesocosm with Lansing soil and Gv Experiment 3. Samples collected 45 days after soil in-growth cores inserted in mesocosm	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/046/SRR12183146/SRR12183146_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/046/SRR12183146/SRR12183146_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR121/046/SRR12183146	
SRR12183150	SAMN15485863	SRX8697792	PRJNA644936	410658	soil metagenome	Illumina MiSeq sequencing: 16S amplicon of RH sample from mesocosm with Lansing soil and Gv Experiment 3. Samples collected 45 days after soil in-growth cores inserted in mesocosm	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/050/SRR12183150/SRR12183150_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/050/SRR12183150/SRR12183150_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR121/050/SRR12183150	
SRR12183157	SAMN15485856	SRX8697785	PRJNA644936	410658	soil metagenome	Illumina MiSeq sequencing: 16S amplicon of CH sample from mesocosm with Lansing soil and Gv Experiment 3. Samples collected 14 days after soil in-growth cores inserted in mesocosm	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/057/SRR12183157/SRR12183157_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/057/SRR12183157/SRR12183157_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR121/057/SRR12183157	
SRR12183158	SAMN15485667	SRX8697784	PRJNA644936	939928	rhizosphere metagenome	Illumina MiSeq sequencing: 16S amplicon of RT sample from mesocosm with Sand soil and Gv Experiment 1. Samples collected 81 days after soil in-growth cores inserted in mesocosm	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/058/SRR12183158/SRR12183158_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/058/SRR12183158/SRR12183158_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR121/058/SRR12183158	
SRR12183161	SAMN15485853	SRX8697781	PRJNA644936	410658	soil metagenome	Illumina MiSeq sequencing: 16S amplicon of RH sample from mesocosm with Lansing soil and Gv Experiment 3. Samples collected 35 days after soil in-growth cores inserted in mesocosm	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/061/SRR12183161/SRR12183161_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/061/SRR12183161/SRR12183161_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR121/061/SRR12183161	
SRR12183162	SAMN15485852	SRX8697780	PRJNA644936	410658	soil metagenome	Illumina MiSeq sequencing: 16S amplicon of RH sample from mesocosm with Lansing soil and Gv Experiment 3. Samples collected 35 days after soil in-growth cores inserted in mesocosm	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/062/SRR12183162/SRR12183162_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/062/SRR12183162/SRR12183162_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR121/062/SRR12183162	
SRR12183163	SAMN15485851	SRX8697779	PRJNA644936	410658	soil metagenome	Illumina MiSeq sequencing: 16S amplicon of RH sample from mesocosm with Lansing soil and Gv Experiment 3. Samples collected 35 days after soil in-growth cores inserted in mesocosm	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/063/SRR12183163/SRR12183163_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/063/SRR12183163/SRR12183163_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR121/063/SRR12183163	
SRR12183167	SAMN15485847	SRX8697873	PRJNA644936	1670606	fungus metagenome	Illumina MiSeq sequencing: 16S amplicon of EB sample from mesocosm with soil and Experiment 3. Samples collected NA days after soil in-growth cores inserted in mesocosm	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/067/SRR12183167/SRR12183167_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/067/SRR12183167/SRR12183167_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR121/067/SRR12183167	
SRR12183168	SAMN15485923	SRX8697774	PRJNA644936	410658	soil metagenome	Illumina MiSeq sequencing: 16S amplicon of BS sample from mesocosm with Lansing soil and RI Experiment 2. Samples collected 27 days after soil in-growth cores inserted in mesocosm	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/068/SRR12183168/SRR12183168_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/068/SRR12183168/SRR12183168_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR121/068/SRR12183168	
SRR12183169	SAMN15485922	SRX8697773	PRJNA644936	410658	soil metagenome	Illumina MiSeq sequencing: 16S amplicon of BH sample from mesocosm with Lansing soil and RI Experiment 2. Samples collected 27 days after soil in-growth cores inserted in mesocosm	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/069/SRR12183169/SRR12183169_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/069/SRR12183169/SRR12183169_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR121/069/SRR12183169	
SRR12183174	SAMN15485917	SRX8697768	PRJNA644936	410658	soil metagenome	Illumina MiSeq sequencing: 16S amplicon of BS sample from mesocosm with Lansing soil and RI Experiment 2. Samples collected 27 days after soil in-growth cores inserted in mesocosm	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/074/SRR12183174/SRR12183174_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/074/SRR12183174/SRR12183174_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR121/074/SRR12183174	
SRR12183177	SAMN15485915	SRX8697765	PRJNA644936	410658	soil metagenome	Illumina MiSeq sequencing: 16S amplicon of BS sample from mesocosm with Florence soil and RI Experiment 2. Samples collected 27 days after soil in-growth cores inserted in mesocosm	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/077/SRR12183177/SRR12183177_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/077/SRR12183177/SRR12183177_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR121/077/SRR12183177	
SRR12183178	SAMN15485914	SRX8697764	PRJNA644936	410658	soil metagenome	Illumina MiSeq sequencing: 16S amplicon of BH sample from mesocosm with Florence soil and RI Experiment 2. Samples collected 27 days after soil in-growth cores inserted in mesocosm	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/078/SRR12183178/SRR12183178_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/078/SRR12183178/SRR12183178_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR121/078/SRR12183178	
SRR12183180	SAMN15485912	SRX8697762	PRJNA644936	410658	soil metagenome	Illumina MiSeq sequencing: 16S amplicon of BH sample from mesocosm with Florence soil and RI Experiment 2. Samples collected 27 days after soil in-growth cores inserted in mesocosm	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/080/SRR12183180/SRR12183180_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/080/SRR12183180/SRR12183180_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR121/080/SRR12183180	
SRR12183181	SAMN15485911	SRX8697761	PRJNA644936	410658	soil metagenome	Illumina MiSeq sequencing: 16S amplicon of BS sample from mesocosm with Florence soil and RI Experiment 2. Samples collected 27 days after soil in-growth cores inserted in mesocosm	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/081/SRR12183181/SRR12183181_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/081/SRR12183181/SRR12183181_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR121/081/SRR12183181	
SRR12183184	SAMN15485908	SRX8697758	PRJNA644936	410658	soil metagenome	Illumina MiSeq sequencing: 16S amplicon of BH sample from mesocosm with Florence soil and RI Experiment 2. Samples collected 27 days after soil in-growth cores inserted in mesocosm	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/084/SRR12183184/SRR12183184_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/084/SRR12183184/SRR12183184_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR121/084/SRR12183184	
SRR12183193	SAMN15485900	SRX8697749	PRJNA644936	410658	soil metagenome	Illumina MiSeq sequencing: 16S amplicon of BH sample from mesocosm with Lansing soil and Gv Experiment 2. Samples collected 27 days after soil in-growth cores inserted in mesocosm	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/093/SRR12183193/SRR12183193_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/093/SRR12183193/SRR12183193_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR121/093/SRR12183193	
SRR12183130	SAMN15485743	SRX8697811	PRJNA644936	410658	soil metagenome	Illumina MiSeq sequencing: 16S amplicon of RH sample from mesocosm with Lansing soil and Gv Experiment 3. Samples collected 65 days after soil in-growth cores inserted in mesocosm	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/030/SRR12183130/SRR12183130_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/030/SRR12183130/SRR12183130_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR121/030/SRR12183130	
SRR12183194	SAMN15485899	SRX8697748	PRJNA644936	410658	soil metagenome	Illumina MiSeq sequencing: 16S amplicon of BS sample from mesocosm with Florence soil and Gv Experiment 2. Samples collected 27 days after soil in-growth cores inserted in mesocosm	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/094/SRR12183194/SRR12183194_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/094/SRR12183194/SRR12183194_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR121/094/SRR12183194	
SRR12183132	SAMN15485741	SRX8697809	PRJNA644936	410658	soil metagenome	Illumina MiSeq sequencing: 16S amplicon of BP sample from mesocosm with Lansing soil and Gv Experiment 3. Samples collected 65 days after soil in-growth cores inserted in mesocosm	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/032/SRR12183132/SRR12183132_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/032/SRR12183132/SRR12183132_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR121/032/SRR12183132	
SRR12183196	SAMN15485973	SRX8697746	PRJNA644936	410658	soil metagenome	Illumina MiSeq sequencing: 16S amplicon of RH sample from mesocosm with Lansing soil and RI Experiment 2. Samples collected 27 days after soil in-growth cores inserted in mesocosm	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/096/SRR12183196/SRR12183196_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/096/SRR12183196/SRR12183196_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR121/096/SRR12183196	
SRR12183133	SAMN15485740	SRX8697808	PRJNA644936	410658	soil metagenome	Illumina MiSeq sequencing: 16S amplicon of RH sample from mesocosm with Lansing soil and Gv Experiment 3. Samples collected 65 days after soil in-growth cores inserted in mesocosm	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/033/SRR12183133/SRR12183133_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/033/SRR12183133/SRR12183133_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR121/033/SRR12183133	
SRR12183197	SAMN15485972	SRX8697745	PRJNA644936	410658	soil metagenome	Illumina MiSeq sequencing: 16S amplicon of CH sample from mesocosm with Lansing soil and RI Experiment 2. Samples collected 27 days after soil in-growth cores inserted in mesocosm	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/097/SRR12183197/SRR12183197_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/097/SRR12183197/SRR12183197_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR121/097/SRR12183197	
SRR12183134	SAMN15485739	SRX8697807	PRJNA644936	410658	soil metagenome	Illumina MiSeq sequencing: 16S amplicon of CH sample from mesocosm with Lansing soil and Gv Experiment 3. Samples collected 65 days after soil in-growth cores inserted in mesocosm	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/034/SRR12183134/SRR12183134_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/034/SRR12183134/SRR12183134_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR121/034/SRR12183134	
