"","scientific_name","experiment_title","soil_type","Sample_or_Control","denoisedF","denoisedR","merged","nochim","num_ASVs","names","TC_percent"
"SRR12183139","soil metagenome","Illumina MiSeq sequencing: 16S amplicon of CS sample from mesocosm with Sand soil and Gv Experiment 1. Samples collected 81 days after soil in-growth cores inserted in mesocosm","Sand",TRUE,34565,34534,34131,32332,240,"SRR12183139",0
"SRR12183147","rhizosphere metagenome","Illumina MiSeq sequencing: 16S amplicon of RT sample from mesocosm with Sand soil and Gv Experiment 1. Samples collected 81 days after soil in-growth cores inserted in mesocosm","Sand",TRUE,28298,28313,27814,25728,170,"SRR12183147",0
"SRR12183158","rhizosphere metagenome","Illumina MiSeq sequencing: 16S amplicon of RT sample from mesocosm with Sand soil and Gv Experiment 1. Samples collected 81 days after soil in-growth cores inserted in mesocosm","Sand",TRUE,33520,33560,32974,30590,204,"SRR12183158",0
"SRR12183176","soil metagenome","Illumina MiSeq sequencing: 16S amplicon of CH sample from mesocosm with Florence soil and Gv Experiment 1. Samples collected 81 days after soil in-growth cores inserted in mesocosm","Florence",TRUE,28515,28548,26091,25822,767,"SRR12183176",0.73
"SRR12183187","soil metagenome","Illumina MiSeq sequencing: 16S amplicon of CH sample from mesocosm with Lansing soil and Gv Experiment 1. Samples collected 81 days after soil in-growth cores inserted in mesocosm","Lansing",TRUE,21088,21168,19702,19242,624,"SRR12183187",2.25
"SRR12183204","soil metagenome","Illumina MiSeq sequencing: 16S amplicon of CH sample from mesocosm with Pendelton soil and Gv Experiment 1. Samples collected 81 days after soil in-growth cores inserted in mesocosm","Pendelton",TRUE,20608,20591,18187,18027,784,"SRR12183204",1
"SRR12183215","soil metagenome","Illumina MiSeq sequencing: 16S amplicon of CH sample from mesocosm with Pendelton soil and Gv Experiment 1. Samples collected 81 days after soil in-growth cores inserted in mesocosm","Pendelton",TRUE,21745,21812,19362,18705,843,"SRR12183215",1
"SRR12183228","soil metagenome","Illumina MiSeq sequencing: 16S amplicon of CS sample from mesocosm with Pendelton soil and Gv Experiment 1. Samples collected 81 days after soil in-growth cores inserted in mesocosm","Pendelton",TRUE,42950,43097,34600,34122,1443,"SRR12183228",1
"SRR12183239","soil metagenome","Illumina MiSeq sequencing: 16S amplicon of CS sample from mesocosm with Florence soil and Gv Experiment 1. Samples collected 81 days after soil in-growth cores inserted in mesocosm","Florence",TRUE,34390,34648,27716,27330,1198,"SRR12183239",0.73
"SRR12183259","rhizosphere metagenome","Illumina MiSeq sequencing: 16S amplicon of RT sample from mesocosm with Florence soil and Gv Experiment 1. Samples collected 81 days after soil in-growth cores inserted in mesocosm","Florence",TRUE,44669,44650,40429,39030,927,"SRR12183259",0.73
